Data,Dia desde contágio 1,Casos confirmados,Óbitos,Casos ativos,Taxa morte contaminados,Curados,Casos negativos,Testes realizados,Novos Casos,Novos óbitos,Novos testes realizados,Suspeitos,Óbitos suspeitos,Suspeitos ativos,Leitos clinicos ocupados,Leitos UTI ocupados - COVID-19,Leitos UTI ocupados - Outras enfermidades,Total leitos UTI,Semana de pandemia
2021/04/07,374,11206,281,112.0,0.02507585222,10782.0,20352,31558,14,3,161,563,1,0,50.0,47.0,17.0,65.0,54
2021/04/08,375,11253,286,116.0,0.02541544477,10820.0,20352,31605,47,5,47,621,0,621,46.0,41.0,19.0,63.0,54
2021/04/09,376,11350,291,142.0,0.025638766519999998,10886.0,20352,31702,97,5,97,541,0,541,43.0,44.0,19.0,63.0,54
2021/04/10,377,11411,292,130.0,0.025589343619999996,10958.0,20352,31763,61,1,61,441,0,441,37.0,43.0,18.0,63.0,54
2021/04/11,378,11420,295,121.0,0.025831873909999997,10973.0,20352,31772,9,3,9,432,0,432,37.0,41.0,18.0,63.0,55
2021/04/12,379,11461,297,112.0,0.025913969109999997,11020.0,22872,34333,41,2,2561,309,0,309,42.0,47.0,17.0,65.0,55
2021/04/13,380,11542,299,115.0,0.02590538901,11096.0,22872,34414,81,2,81,333,1,332,32.0,50.0,18.0,68.0,55
2021/04/14,381,11620,303,157.0,0.026075731499999998,11127.0,22872,34492,78,4,78,297,1,296,29.0,49.0,20.0,70.0,55
2021/04/15,382,11638,305,147.0,0.026207252110000002,11153.0,22872,34510,18,2,18,311,2,309,33.0,46.0,17.0,64.0,55
2021/04/16,383,11710,306,148.0,0.02613151153,11221.0,22872,34582,72,1,72,242,1,241,37.0,45.0,19.0,64.0,55
2021/04/17,384,11746,309,144.0,0.02630682786,11258.0,22872,34618,36,3,36,241,0,241,38.0,44.0,20.0,65.0,55
2021/04/18,385,11750,310,145.0,0.02638297872,11260.0,22872,34622,4,1,4,241,0,241,39.0,44.0,18.0,64.0,56
2021/04/19,386,11815,313,156.0,0.026491747779999998,11311.0,22872,34687,65,3,65,160,0,160,42.0,46.0,17.0,63.0,56
2021/04/20,387,11890,313,155.0,0.02632464256,11387.0,22872,34762,75,0,75,256,0,256,42.0,47.0,17.0,64.0,56
2021/04/21,388,11914,314,149.0,0.02635554809,11416.0,22872,34786,24,1,24,171,0,171,44.0,44.0,19.0,64.0,56
2021/04/22,389,11957,315,174.0,0.02634440077,11431.0,22872,34829,43,1,43,155,0,155,48.0,42.0,20.0,63.0,56
2021/04/23,390,12020,315,160.0,0.026206322799999997,11508.0,22872,34892,63,0,63,182,0,182,45.0,46.0,19.0,65.0,56
2021/04/24,391,12045,319,126.0,0.02648401826,11563.0,22872,34917,25,4,25,173,0,173,47.0,46.0,18.0,65.0,56
2021/04/25,392,12048,321,125.0,0.02664342629,11565.0,22872,34920,3,2,3,173,0,173,47.0,44.0,19.0,65.0,57
2021/04/26,393,12130,324,141.0,0.026710634790000003,11628.0,22872,35002,82,3,82,135,0,135,47.0,43.0,20.0,63.0,57
2021/04/27,394,12224,324,183.0,0.0265052356,11680.0,22872,35096,94,0,94,181,0,181,49.0,46.0,20.0,66.0,57
2021/04/28,395,12285,327,189.0,0.02661782662,11732.0,22872,35157,61,3,61,202,0,202,48.0,45.0,19.0,62.0,57
2021/04/29,396,12311,328,170.0,0.02664283974,11775.0,22872,35183,26,1,26,240,0,240,39.0,44.0,20.0,65.0,57
2021/04/30,397,12330,330,156.0,0.026763990269999996,11806.0,22872,35202,19,2,19,297,0,297,41.0,46.0,20.0,66.0,57
2021/05/01,398,12330,330,156.0,0.026763990269999996,11806.0,22872,35202,0,0,0,297,0,297,41.0,46.0,20.0,61.0,57
2021/05/02,399,12330,330,156.0,0.026763990269999996,11806.0,22872,35202,0,0,0,297,0,297,41.0,46.0,20.0,61.0,58
2021/05/03,400,12357,344,96.0,0.02783847212,11878.0,22872,35229,27,14,27,307,0,307,37.0,36.0,18.0,63.0,58
2021/05/04,401,12434,345,122.0,0.02774650153,11928.0,22872,35306,77,1,77,342,0,342,34.0,44.0,18.0,63.0,58
2021/05/05,402,12482,350,135.0,0.02804037814,11958.0,22872,35354,48,5,48,335,0,335,33.0,40.0,17.0,61.0,58
2021/05/06,403,12513,353,143.0,0.02821066091,11978.0,22872,35385,31,3,31,230,0,230,36.0,44.0,19.0,63.0,58
2021/05/07,404,12594,355,136.0,0.028188026039999998,12064.0,22872,35466,81,2,81,229,1,228,40.0,42.0,20.0,63.0,58
2021/05/08,405,12632,355,137.0,0.028103229889999994,12101.0,22872,35504,38,0,38,209,1,208,37.0,42.0,18.0,62.0,58
2021/05/09,406,12649,355,149.0,0.02806545972,12102.0,22872,35521,17,0,17,211,1,210,39.0,42.0,17.0,63.0,59
2021/05/10,407,12719,356,133.0,0.027989621830000002,12191.0,22872,35591,70,1,70,95,1,94,40.0,42.0,17.0,61.0,59
2021/05/11,408,12769,362,130.0,0.02834990994,12237.0,22872,35641,50,6,50,138,0,138,34.0,42.0,19.0,62.0,59
2021/05/12,409,12811,362,140.0,0.028256966669999998,12238.0,22872,35683,42,0,42,202,0,202,32.0,42.0,17.0,61.0,59
2021/05/13,410,12941,362,190.0,0.02797310872,12349.0,22872,35813,130,0,130,270,1,269,29.0,44.0,18.0,63.0,59
2021/05/14,411,13061,366,236.0,0.028022356630000002,12419.0,22872,35933,120,4,120,325,0,325,40.0,39.0,19.0,61.0,59
2021/05/15,412,13075,368,219.0,0.028145315489999996,12447.0,22872,35947,14,2,14,323,0,323,46.0,39.0,17.0,61.0,59
2021/05/16,413,13084,368,223.0,0.02812595537,12452.0,25700,38784,9,0,2837,324,0,324,46.0,40.0,18.0,61.0,60
2021/05/17,414,13204,369,244.0,0.02794607695,12550.0,25700,38904,120,1,120,217,0,217,53.0,39.0,18.0,61.0,60
2021/05/18,415,13255,371,240.0,0.027989437949999998,12602.0,25700,38955,51,2,51,285,0,285,53.0,37.0,16.0,61.0,60
2021/05/19,416,13379,372,279.0,0.02780476867,12686.0,25700,39079,124,1,124,342,1,341,51.0,37.0,17.0,61.0,60
2021/05/20,417,13544,374,333.0,0.02761370348,12794.0,25700,39244,165,2,165,433,2,431,54.0,38.0,17.0,61.0,60
2021/05/21,418,13668,376,342.0,0.02750951127,12906.0,25700,39368,124,2,124,420,1,419,50.0,41.0,16.0,61.0,60
2021/05/22,419,13753,378,331.0,0.02748491238,12998.0,25700,39453,85,2,85,281,1,280,57.0,41.0,16.0,62.0,60
2021/05/23,420,13758,381,332.0,0.02769297863,12998.0,25700,39458,5,3,5,285,1,284,61.0,40.0,16.0,62.0,61
2021/05/24,421,13820,384,241.0,0.027785817660000003,13148.0,25700,39520,62,3,62,307,2,305,59.0,41.0,15.0,62.0,61
2021/05/25,422,13911,385,237.0,0.0276759399,13242.0,25700,39611,91,1,91,370,3,367,63.0,44.0,16.0,62.0,61
2021/05/26,423,13960,388,213.0,0.02779369628,13312.0,25700,39660,49,3,49,432,3,429,56.0,48.0,18.0,66.0,61
2021/05/27,424,14056,390,220.0,0.027746158219999997,13399.0,25700,39756,96,2,96,345,3,342,54.0,48.0,16.0,64.0,61
2021/05/28,425,14138,397,198.0,0.02808035083,13496.0,25700,39838,82,7,82,347,2,345,68.0,45.0,17.0,62.0,61
2021/05/29,426,14196,401,210.0,0.02824739363,13538.0,25700,39896,58,4,58,291,2,289,65.0,44.0,17.0,61.0,61
2021/05/30,427,14199,404,208.0,0.02845270794,13540.0,25700,39899,3,3,3,293,2,291,66.0,43.0,16.0,62.0,62
2021/05/31,428,14227,407,158.0,0.028607577139999996,13615.0,25700,39927,28,3,28,430,4,426,58.0,46.0,15.0,63.0,62
2021/06/01,429,14378,410,180.0,0.028515788010000005,13740.0,25700,40078,151,3,151,324,4,320,65.0,45.0,16.0,62.0,62
2021/06/02,430,14550,415,185.0,0.028522336769999997,13902.0,25700,40250,172,5,172,526,4,522,56.0,56.0,16.0,75.0,62
2021/06/03,431,14634,416,197.0,0.028426950939999997,13971.0,25700,40334,84,1,84,571,4,567,57.0,58.0,17.0,76.0,62
2021/06/04,432,14714,419,188.0,0.028476281089999996,14057.0,25700,40414,80,3,80,660,4,656,65.0,58.0,17.0,77.0,62
2021/06/05,433,14755,420,220.0,0.028464927139999995,14065.0,25700,40455,41,1,41,633,4,629,67.0,61.0,14.0,76.0,62
2021/06/06,434,14759,422,179.0,0.028592723080000004,14108.0,25700,40459,4,2,4,631,4,627,61.0,61.0,12.0,76.0,63
2021/06/07,435,14801,429,128.0,0.02898452807,14192.0,25700,40501,42,7,42,717,2,715,68.0,59.0,13.0,76.0,63
2021/06/08,436,14939,432,150.0,0.028917598230000004,14305.0,25700,40639,138,3,138,570,2,568,61.0,60.0,16.0,78.0,63
2021/06/09,437,15126,435,160.0,0.028758429189999997,14479.0,25700,40826,187,3,187,525,2,523,67.0,56.0,16.0,72.0,63
2021/06/10,438,15285,439,189.0,0.02872096827,14604.0,25700,40985,159,4,159,589,1,588,75.0,57.0,17.0,76.0,63
2021/06/11,439,15465,442,205.0,0.02858066602,14765.0,25700,41165,180,3,180,674,2,672,71.0,58.0,16.0,75.0,63
2021/06/12,440,15546,443,181.0,0.028496076160000005,14869.0,25700,41246,81,1,81,610,2,608,71.0,58.0,18.0,76.0,63
2021/06/13,441,15554,449,181.0,0.02886717243,14871.0,25700,41254,8,6,8,611,2,609,70.0,54.0,18.0,76.0,64
2021/06/14,442,15730,452,226.0,0.028734901460000004,14999.0,27040,42770,176,3,176,528,4,524,68.0,58.0,19.0,78.0,64
2021/06/15,443,15941,458,226.0,0.028730945360000003,15204.0,27040,42981,211,6,211,601,3,598,70.0,58.0,17.0,75.0,64
2021/06/16,444,16176,466,194.0,0.028808110780000003,15463.0,27040,43216,235,8,235,711,3,708,72.0,60.0,17.0,77.0,64
2021/06/17,445,16379,469,228.0,0.02863422675,15269.0,27040,43419,203,3,203,859,2,857,62.0,59.0,18.0,77.0,64
2021/06/18,446,16571,472,225.0,0.02848349526,15801.0,27040,43611,192,3,192,721,2,719,65.0,61.0,19.0,82.0,64
2021/06/19,447,16635,479,197.0,0.02879470995,15906.0,27040,43675,64,7,64,717,1,716,65.0,63.0,19.0,82.0,64
2021/06/20,448,16637,480,196.0,0.9561820040000001,15908.0,27040,43677,2,1,2,718,1,717,66.0,63.0,18.0,80.0,65
2021/06/21,449,16788,482,169.0,0.028710984039999995,16084.0,27040,43828,151,2,151,683,1,682,65.0,64.0,17.0,82.0,65
2021/06/22,450,16950,483,167.0,0.02849557522,16247.0,27040,43990,162,1,162,751,1,750,60.0,65.0,18.0,83.0,65
2021/06/23,451,17095,489,193.0,0.02860485522,16360.0,27040,44135,145,6,145,773,1,772,57.0,63.0,17.0,80.0,65
2021/06/24,452,17232,491,244.0,0.02849350046,16444.0,27040,44272,137,2,137,799,1,798,58.0,63.0,19.0,82.0,65
2021/06/25,453,17406,496,276.0,0.028495920950000003,16581.0,27040,44446,174,5,174,791,1,790,55.0,62.0,19.0,82.0,65
2021/06/26,454,17478,496,202.0,0.028378533010000005,16727.0,27040,44518,72,0,72,585,1,584,52.0,60.0,19.0,81.0,65
2021/06/27,455,17493,497,197.0,0.028411364550000002,16746.0,27040,44533,15,1,15,572,1,571,51.0,60.0,19.0,80.0,66
2021/06/28,456,17646,506,190.0,0.028675053839999996,16897.0,27040,44686,153,9,153,565,2,563,42.0,60.0,18.0,78.0,66
2021/06/29,457,17775,509,184.0,0.02863572433,17029.0,27040,44815,129,3,129,529,4,525,49.0,58.0,19.0,77.0,66
2021/06/30,458,17892,509,182.0,0.028448468589999998,17148.0,27040,44932,117,0,117,566,2,564,42.0,59.0,17.0,77.0,66
2021/07/01,459,17940,509,183.0,0.02837235229,17195.0,27040,44980,48,0,48,567,1,566,46.0,56.0,19.0,76.0,66
2021/07/02,460,18015,518,178.0,0.028753816260000002,17266.0,27040,45055,75,9,75,574,0,574,39.0,53.0,19.0,76.0,66
2021/07/03,461,18115,518,168.0,0.028595086939999997,17376.0,27040,45155,100,0,100,484,0,484,37.0,55.0,19.0,77.0,66
2021/07/04,462,18119,519,170.0,0.028643964900000003,17377.0,27040,45159,4,1,4,485,0,485,40.0,56.0,18.0,76.0,67
2021/07/05,463,18170,520,193.0,0.028618602089999997,17404.0,27040,45210,51,1,51,455,1,454,41.0,59.0,17.0,77.0,67
2021/07/06,464,18275,521,154.0,0.02850889193,17547.0,27040,45315,105,1,105,477,2,475,40.0,55.0,20.0,77.0,67
2021/07/07,465,18393,523,150.0,0.0284347306,17666.0,27040,45433,118,2,118,547,1,546,30.0,53.0,19.0,74.0,67
2021/07/08,466,18544,526,170.0,0.0283649698,17794.0,27040,45584,151,3,151,603,1,602,38.0,52.0,20.0,72.0,67
2021/07/09,467,18616,531,176.0,0.02852385045,17855.0,27040,45656,72,5,72,598,0,598,41.0,51.0,19.0,72.0,67
2021/07/11,468,18647,534,177.0,0.028637314310000002,17882.0,27040,45687,31,3,31,597,0,597,40.0,47.0,17.0,71.0,67
2021/07/12,469,18715,538,82.0,0.02874699439,18041.0,27040,45755,68,4,68,583,0,583,32.0,46.0,18.0,71.0,68
2021/07/13,470,18803,539,119.0,0.028665638460000004,18091.0,27040,45843,88,1,88,586,0,586,27.0,49.0,19.0,72.0,68
2021/07/14,471,18925,545,111.0,0.02879788639,18214.0,27040,45965,122,6,122,585,1,584,28.0,41.0,18.0,71.0,68
2021/07/15,472,19031,546,113.0,0.02869003205,18317.0,27040,46071,106,1,106,567,1,566,20.0,42.0,18.0,71.0,68
2021/07/16,473,19152,552,110.0,0.02882205514,18435.0,27040,46192,121,6,121,591,1,590,17.0,35.0,18.0,71.0,68
2021/07/17,474,19206,555,128.0,0.028897219619999998,18467.0,27040,46246,54,3,54,465,1,464,22.0,39.0,19.0,71.0,68
2021/07/18,475,19210,557,128.0,0.02899531494,18469.0,27040,46250,4,2,4,310,1,309,19.0,39.0,19.0,71.0,68
2021/07/19,476,19259,559,127.0,0.029025390730000003,18517.0,27040,46299,49,2,49,105,0,105,24.0,36.0,16.0,71.0,69
2021/07/20,477,19334,560,119.0,0.028964518460000005,18597.0,27040,46374,75,1,75,179,0,179,20.0,34.0,18.0,71.0,69
2021/07/21,478,19409,560,126.0,0.02885259416,18665.0,27040,46449,75,0,75,207,0,207,15.0,34.0,18.0,71.0,69
2021/07/22,479,19455,563,121.0,0.0289385762,18703.0,27040,46495,46,3,46,260,0,260,18.0,29.0,19.0,71.0,69
2021/07/23,480,19507,564,131.0,0.028912698010000005,18754.0,27040,46547,52,1,52,310,1,309,16.0,30.0,19.0,71.0,69
2021/07/24,481,19549,564,128.0,0.028850580589999997,18799.0,27040,46589,42,0,42,285,1,284,11.0,30.0,17.0,71.0,69
2021/07/25,482,19559,564,138.0,0.02883583005,18799.0,27040,46599,10,0,10,284,1,283,12.0,42.0,18.0,71.0,69
2021/07/26,483,19664,564,133.0,0.02868185517,18909.0,27040,46704,105,0,105,282,1,281,17.0,28.0,19.0,71.0,70
2021/07/27,484,19715,566,132.0,0.028709104739999998,18959.0,27040,46755,51,2,51,153,0,153,18.0,29.0,19.0,71.0,70
2021/07/28,485,19764,568,138.0,0.02873912164,19000.0,27040,46804,49,2,49,164,1,163,21.0,28.0,19.0,71.0,70
2021/07/29,486,19804,568,147.0,0.028681074530000003,19031.0,27040,46844,40,0,40,164,0,164,14.0,28.0,19.0,71.0,70
2021/07/30,487,19850,568,139.0,0.028614609569999998,19085.0,27040,46890,46,0,46,115,0,115,17.0,28.0,18.0,71.0,70
2021/07/31,488,19861,568,147.0,0.02859876139,19088.0,27040,46901,11,0,11,114,0,114,15.0,28.0,17.0,71.0,70
2021/08/01,489,19868,568,152.0,0.028588685319999998,19090.0,27040,46908,7,0,7,115,1,114,12.0,28.0,16.0,71.0,70
2021/08/02,490,19892,568,95.0,0.02855419264,19171.0,27040,46932,24,0,24,28,2,26,13.0,27.0,17.0,61.0,71
2021/08/04,491,19998,569,108.0,0.02845284528,19263.0,27040,47038,106,1,106,160,0,160,22.0,24.0,19.0,61.0,71
2021/08/05,492,20039,571,119.0,0.0028943560060000002,19291.0,27040,47079,41,2,41,186,0,186,16.0,23.0,18.0,61.0,71
2021/08/06,493,20074,572,107.0,0.028494570089999997,19337.0,27040,47114,35,1,35,112,0,112,15.0,22.0,17.0,61.0,71
2021/08/07,494,20080,572,93.0,0.028486055780000002,19357.0,27040,47120,6,0,6,112,0,112,17.0,21.0,18.0,61.0,71
2021/08/08,495,20081,572,80.0,0.02848463722,19371.0,27040,47121,1,0,1,112,0,112,16.0,21.0,18.0,61.0,71
2021/08/09,496,20111,572,84.0,0.02844214609,19397.0,27040,47151,30,0,30,82,0,82,10.0,22.0,18.0,61.0,71
2021/08/10,497,20153,573,93.0,0.02843249144,19429.0,27040,47193,42,1,42,149,0,149,11.0,23.0,18.0,61.0,72
2021/08/11,498,20172,573,84.0,0.028405710889999998,19457.0,27040,47212,19,0,19,128,0,128,14.0,22.0,19.0,61.0,72
2021/08/12,499,20215,573,100.0,0.02834528815,19484.0,27040,47255,43,0,43,101,0,101,14.0,21.0,18.0,61.0,72
2021/08/13,500,20238,574,120.0,0.028362486410000002,19485.0,27040,47278,23,1,23,41,0,41,15.0,20.0,20.0,61.0,72
2021/08/14,501,20252,574,99.0,0.028342879720000002,19520.0,27040,47292,14,0,14,41,0,41,15.0,20.0,19.0,61.0,72
2021/08/15,502,20254,574,99.0,0.02834008097,19522.0,27040,47294,2,0,2,41,0,41,13.0,19.0,19.0,61.0,72
2021/08/16,503,20265,576,68.0,0.02842339008,19562.0,27040,47305,11,2,11,40,1,39,7.0,20.0,17.0,61.0,72
2021/08/17,504,20301,576,86.0,0.028372986549999996,19580.0,27040,47341,36,0,36,43,0,43,6.0,19.0,15.0,61.0,73
2021/08/18,505,20316,577,89.0,0.028401260089999995,19591.0,27040,47356,15,1,15,52,0,52,5.0,19.0,16.0,61.0,73
2021/08/19,506,20366,578,113.0,0.02838063439,19616.0,27040,47406,50,1,50,53,1,52,7.0,19.0,14.0,61.0,73
2021/08/20,507,20374,579,115.0,0.028418572689999998,19621.0,27040,47414,8,1,8,49,0,49,7.0,19.0,15.0,61.0,73
2021/08/21,508,20374,580,95.0,0.02846765485,19640.0,27040,47414,0,1,0,48,0,48,6.0,18.0,16.0,61.0,73
2021/08/22,509,20375,580,79.0,0.028466257669999998,19657.0,27040,47415,1,0,1,50,0,50,10.0,17.0,17.0,61.0,73
2021/08/23,510,20396,581,89.0,0.02848597764,19667.0,27040,47436,21,1,21,43,0,43,8.0,18.0,18.0,61.0,73
2021/08/24,511,20396,581,89.0,0.02848597764,19667.0,27040,47436,0,0,0,43,0,43,8.0,18.0,18.0,61.0,74
2021/08/25,512,20439,581,81.0,0.028426048239999994,19718.0,27040,47479,43,0,43,80,0,80,7.0,18.0,17.0,61.0,74
2021/08/26,513,20459,581,91.0,0.028398259930000003,19728.0,27040,47499,20,0,20,88,0,88,8.0,18.0,19.0,61.0,74
2021/08/27,514,20470,581,94.0,0.028382999510000003,19736.0,27040,47510,11,0,11,66,0,66,6.0,17.0,19.0,61.0,74
2021/08/28,515,20471,581,86.0,0.028381613010000004,19745.0,27040,47511,1,0,1,66,0,66,8.0,17.0,16.0,61.0,74
2021/08/29,516,20471,581,85.0,0.028381613010000004,19746.0,27040,47511,0,0,0,66,0,66,11.0,16.0,16.0,61.0,74
2021/08/30,517,20506,582,46.0,0.0257485614,19819.0,27040,47546,35,1,35,53,0,53,8.0,16.0,11.0,61.0,74
2021/08/31,518,20510,582,49.0,0.028376401760000003,19820.0,27040,47550,4,0,4,80,0,80,8.0,16.0,11.0,61.0,75
2021/09/01,519,20539,582,51.0,0.02833633575,19847.0,27040,47579,29,0,29,75,0,75,6.0,17.0,11.0,61.0,75
2021/09/02,520,20554,582,51.0,0.028315656319999997,19862.0,27040,47594,15,0,15,65,0,65,6.0,17.0,11.0,61.0,75
2021/09/03,521,20582,582,64.0,0.028277135360000004,19877.0,27040,47622,28,0,28,47,0,47,9.0,15.0,11.0,61.0,75
2021/09/04,522,20586,582,64.0,0.028271640919999997,19881.0,27040,47626,4,0,4,47,0,47,7.0,17.0,11.0,61.0,75
2021/09/05,523,20592,582,55.0,0.028263403260000004,19896.0,27040,47632,6,0,6,47,0,47,9.0,17.0,11.0,61.0,75
2021/09/06,524,20592,584,50.0,0.02836052836,19898.0,27040,47632,0,2,0,47,0,47,16.0,14.0,11.0,61.0,75
2021/09/07,525,20601,584,50.0,0.028348138439999997,19907.0,27040,47641,9,0,9,47,0,47,7.0,15.0,11.0,61.0,76
2021/09/08,526,20608,584,30.0,0.02833850932,19933.0,27040,47648,7,0,7,32,0,32,4.0,14.0,11.0,61.0,76
2021/09/09,527,20645,584,31.0,0.028287721000000002,19969.0,27040,47685,37,0,37,49,0,49,4.0,15.0,11.0,61.0,76
2021/09/10,528,20680,584,40.0,0.02823984526,19995.0,27040,47720,35,0,35,29,0,29,6.0,12.0,11.0,61.0,76
2021/09/11,529,20682,584,36.0,0.0282371144,20001.0,27040,47722,2,0,2,30,0,30,7.0,11.0,11.0,61.0,76
2021/09/12,530,20685,584,34.0,0.028233019100000003,20006.0,27040,47725,3,0,3,30,0,30,6.0,12.0,11.0,61.0,76
2021/09/13,531,20703,585,37.0,0.028256774380000002,20020.0,27040,47743,18,1,18,38,0,38,9.0,11.0,11.0,61.0,76
2021/09/14,532,20708,585,26.0,0.028249951710000002,20036.0,27040,47748,5,0,5,63,0,63,7.0,12.0,11.0,61.0,77
2021/09/16,533,20745,586,45.0,0.028247770550000002,20053.0,27040,47785,37,1,37,32,0,32,8.0,11.0,11.0,61.0,77
2021/09/17,534,20770,586,57.0,0.02821376986,20066.0,27040,47810,25,0,25,36,0,36,6.0,13.0,11.0,61.0,77
2021/09/20,535,20790,587,50.0,0.028234728230000002,20092.0,27040,47830,20,1,20,34,0,34,7.0,10.0,11.0,61.0,77
2021/09/21,536,20807,587,44.0,0.02821165954,20115.0,27040,47847,17,0,17,54,0,54,5.0,10.0,11.0,61.0,77
2021/09/22,537,20816,587,43.0,0.028199461949999997,20125.0,27040,47856,9,0,9,37,0,37,6.0,12.0,11.0,61.0,77
2021/09/23,538,20843,588,43.0,0.02821091014,20151.0,27040,47883,27,1,27,66,0,66,4.0,11.0,11.0,61.0,77
2021/09/24,539,20860,589,54.0,0.0282358581,20156.0,27040,47900,17,1,17,53,0,53,6.0,10.0,11.0,61.0,78
